round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
19,model_dropout,0.0,8,0.9167,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
20,model_dropout,0.0,8,0.9250,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9696969696969697, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
21,model_dropout,0.0,8,0.9194,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
22,model_dropout,0.0,8,0.9361,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9696969696969697, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8723404255319149, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9333333333333333, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
23,model_dropout,0.0,8,0.9139,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7333333333333333, ""9"": 0.85}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
24,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
25,model_dropout,0.0,8,0.9250,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
26,model_dropout,0.0,8,0.9389,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
27,model_dropout,0.0,8,0.9194,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 0.9347826086956522, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,model_dropout,0.0,8,0.9444,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,model_dropout,0.0,8,0.9306,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.875}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.9, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,model_dropout,0.0,8,0.9306,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.8823529411764706, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,model_dropout,0.0,8,0.9444,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,model_dropout,0.0,8,0.9444,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,model_dropout,0.0,8,0.9444,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,model_dropout,0.0,8,0.9472,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.9148936170212766, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,model_dropout,0.0,8,0.9417,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.8936170212765957, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,model_dropout,0.0,8,0.9472,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 1.0, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.9148936170212766, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8666666666666667, ""9"": 0.9}",8,8,5200,"[0, 1, 2, 3, 4, 5, 6, 7]"
